Question_ID,Axis,Question_Text,Option_A,Pole_A,Option_B,Pole_B,Option_C,Pole_C,Option_D,Pole_D
Q01,E_I,周末傍晚，如果你在月亮湾看到有人在举办草坪音乐会，你会：,兴致勃勃地加入外围人群，甚至想跟着旋律轻轻打拍子,E,远远看一眼，觉得画面很美，但还是按照原计划去往更安静的地方,I,拿出手机记录这瞬间，发给好友感慨一下校园的青春氛围,E,这种热闹属于别人，我只想快点回宿舍,I
Q02,E_I,在“百团大战”社团招新现场，你的常态通常是：,哪里热闹去哪里，每个感兴趣的摊位都想聊两句,E,提前看好路线，直奔心仪的目标，领完传单就走,I,被那种热火朝天的氛围感染，即使不加社团也觉得心情愉悦,E,尽量绕开人群密集区，觉得那种高分贝环境有点消耗精力,I
Q03,E_I,关于去学则路夜市吃宵夜，你更喜欢：,宿舍全体出动，大家在摊位前热热闹闹地讨论吃什么,E,只约上一两个最好的朋友，边走边聊一些深层次的话题,I,自己一个人去，享受那种在人海中寻找美食的“孤独感”,I,如果可以，宁愿让室友帮带回来，在寝室里安稳地享受,I
Q04,E_I,当你行走在随园校区幽静的回廊间，你最享受：,偶尔遇到熟悉的同学打个招呼，交流一下近况,E,这种与世隔绝的清静，能让自己大脑彻底放空,I,思考这里的建筑布局和历史细节，并沉浸其中,I,快速走过，思考待会儿要去办的具体事务,I
Q05,E_I,在敬文广场等人时，如果有陌生同学向你寻求指路帮助：,不仅详细指路，甚至愿意走一段路带 TA 过去,E,礼貌清晰地指明方向，确定对方听懂后便重新回到自己的状态,I,有点局促，指个大概方向后赶紧结束这段临时的社交,I,拿出手机帮对方查地图，用最精准的方式解决 TA 的问题,I
Q06,E_I,关于校园生活的“吐槽”或心得，你更倾向于：,在朋友圈或者小红书公开分享，和校友们互动,E,只在自己的小群或私密日记里表达最真实的感受,I,默默点赞别人的动态，觉得自己被“嘴替”了就好,I,完全不参与，觉得生活是自己的，没必要向外界展示,I
Q07,S_N,站在逐日塔下仰望，你最先产生的是：,这个塔的物理结构挺有意思，想知道它的具体建造高度,S,一种宏大的意境，觉得它像是一个注视着南师变迁的智者,N,它的光影非常适合拍一组艺术照,S,这种地标对校园导航系统的重要性,N
Q08,S_N,当你描述随园 100 号楼时，你更容易关注：,它具体的红墙纹理、窗框的比例和修缮的细节,S,它散发出的那种优雅、厚重的人文精神气质,N,在百年前这里曾经发生过的多少故事,N,它目前作为功能性空间的使用效率,S
Q09,S_N,当你恰好经过起霞坡的时候，你的第一反应是：,“又是这个坡！”：在无形中产生出对校园地形最直观、最深刻的实感,S,沉浸电影感：感叹这里是全南师最适合与好友共赏落日、野餐晒太阳的圣地，自动匹配 BGM,N,寻觅“校宠”：眼神自动锁定大傻鹅的出没地，试图开启一场充满童趣的校园偶遇,N,释放本能：被柔软斜坡激发出瞬间的“出格”念头，想干脆躺下体验 321 滚动下坡的纯粹快乐,S
Q10,S_N,在德风园背书或休息时，你会注意到：,每一个石凳的分布位置，以及最适合避风的角落,S,那种肃穆的学术氛围，以及历代先贤留下的精神压力,N,阳光透过树叶洒在孔子像上的光影变化,S,这里非常适合开展小组头脑风暴，是个绝佳的思维碰撞场,N
Q11,S_N,如果校园里突然换了一批新的文创标识，你会：,仔细看上面的每一个图标和文字是否严谨、有无错别字,S,感知它的整体风格是否符合南师大的文化内涵,N,觉得它让校园变得更有新鲜感和趣味性了,N,思考这种设计变更是否提升了校园生活的便利程度,S
Q12,S_N,关于南师大的小猫咪，你的看法是：,它们是校园生活的重要组成部分，是校园的点缀,S,它们代表了一种校园里的温情，是学生情感的寄托,N,应该有一种更科学的数据化管理方式来维持它们数量的平衡,N,只是校园生活里的随机风景，看一眼觉得可爱就行,S
Q13,T_F,在小组协作完成一个跨学科课题时，如果进度受阻，你会：,拿出一份逻辑严密的 DDL 清单，按职责逐条排查问题所在,T,先找个地方大家一起喝杯沏茗城奶茶，在轻松的氛围中解开心结,F,提议大家重新构思，寻找一个更有趣、更跳跃的新切入点,F,默默接手最难的部分，用自己的专业能力把进度硬生生拉回来,T
Q14,T_F,当你发现自己预约的图书馆座位被别人占了，你会：,礼貌但坚定地出示预约记录，按规则收回座位,T,觉得没关系，只要旁边还有空位，不想因为这点小事产生冲突,F,观察对方是否在忙，如果对方也很辛苦，就默默重新找位子,F,思考为什么预约系统会出现这种冲突,T
Q15,T_F,如果你的好友在参加校园比赛中失败了，你倾向于：,帮 TA 仔细分析失败的技术原因，并寻找下次改进的方法,T,什么也不多说，陪 TA 去月亮湾吹吹风，静静听 TA 倾诉,F,告诉 TA 这种经历比结果更重要，这只是人生的一段插曲,F,带 TA 去东城汇吃最爱吃最好吃的炸串，用实际行动转移 TA 的注意力,T
Q16,T_F,在处理繁琐的学分核对任务时，你最在意的是：,每一个数字和课程名称都必须精准无误，不能有任何纰漏,T,这个过程是否体现了对每位同学努力程度的公平对待,F,是否能找到一种更高效的算法或工具来自动化解决它,T,尽快搞定它，好让自己从这种枯燥的事务中解脱出来,T
Q17,T_F,赶早八却遭遇 7MA 刹车随缘、电量虚标甚至 GPS 定位偏移还不上车，面对这种“战损级”骑行体验，你会：,记录故障并联系客服申诉调度费，理性分析其晚间调度与系统逻辑的漏洞,T,在寝室群同步“避雷”信息，感叹雨天抢车上课的生活不易，通过共鸣缓解焦虑,F,不管是下雨天还是大晴天，无论多远的距离我都会用双脚去丈量，以此表达对 7MA 的彻底死心，再见 7MA,T,哪怕再急也会把坏车的车头撇向一侧以示提醒，默默寻找下一辆更靠谱的代步工具,F
Q18,T_F,当你在实验室或自习室遇到一个难以攻克的难题时：,查阅海量资料，运用严密的逻辑推理，不解决不罢休,T,找同学交流，看看别人的思路是否能给自己一点情感支持和启发,F,先去操场跑两圈，在运动中寻找那种突然闪现的灵感,F,将问题拆解成几个小步，一个一个稳扎稳打地克服,T
Q19,J_P,乘坐小白或大黄校车的时候，你的等车状态是：,必须查好时刻表，提前两分钟站在站台，拒绝任何不确定,J,随缘，走到站台看到有车就上，没车就当漫步校园,P,如果没赶上，会短暂地懊恼一下计划被打乱，但很快调整,P,宁愿自己骑车，把通勤的节奏牢牢掌握在自己手中,J
Q20,J_P,你的期末复习周桌面通常长什么样？,所有的参考书、笔记本和笔都按高度和使用频率整齐排列,J,充满了生活气息，书本、水杯、零食分布得乱中有序,P,极其简单，除了正在看的这一本书，其他全部收进柜子,J,随着复习的深入，桌面会逐渐变成一种“动态的混乱”,P
Q21,J_P,准备一场由你发起的宿舍/社团小团建，你会：,制定详细的攻略，包括时间、路线、人均预算和备选方案,J,定好目的地，具体的玩法和吃的店大家到时候看心情决定,P,只要大家能聚在一起开心就好，细节可以随时调整,P,确定好核心任务，其余的交给更有兴趣的伙伴去安排,J
Q22,J_P,住在西区却被告知快递投递到了东区驿站，面对这段“遥远”的取件路，你会：,缜密规划动线：将其与东区的课程或约饭行程合并执行，拒绝任何低效且无意义的往返,J,佛系多件合并：只要不是急用的物件，就让它在驿站先“吃灰”，直到哪天碰巧路过再顺手带回,P,强迫症式即刻清空：无法忍受待办事项堆积，即便横跨半个仙林也要在当天取走，换取心理上的绝对爽利,J,浪漫主义远征：把它当成一场听歌吹风的校园旅行，顺便在东区面包店买份甜品，把枯燥任务变成生活犒赏,P
Q23,J_P,关于乐跑打卡，你的想法是：,制定周密的计划，每周固定跑三次，风雨无阻地完成任务,J,只要天气好心情好就去跑跑，顺便在操场看日落,P,前期疯狂拖延，最后两周在操场上演“生死时速”补卡,P,找一切可以利用的机会，比如去教学楼的路上顺便打个卡,P
Q24,J_P,如果要在随园拍一张完美的银杏合照，你会：,查好最佳光照时间，预设好所有构图和后期风格,J,穿上喜欢的衣服，看到哪片叶子美就站在哪里拍,P,拍下很多张，回去再慢慢挑选自己最心动的那一张,P,觉得照片只是记录，当下的那种金色氛围才是最重要的,P
